work_id,mp_id,state,district,financial_year,nature_of_work,description,implementing_agency,vendor_id,sanctioned_amount,expenditure_incurred,amount_released,progress_pct,status,recommend_date,sanction_date,execution_start_date,first_payment_date,completion_date,completion_photo_id,has_completion_evidence
W00001,MP018,Tamil Nadu,Trichy,2025-26,Community hall,"Community hall at ward 31, Trichy",IA026,V041,2110000,592000,576000,28,in_progress,2024-08-11,2024-10-15,2024-11-06,2025-04-05,,,False
W00002,MP016,Tamil Nadu,Coimbatore,2025-26,e-Library,"e-Library at ward 25, Coimbatore",IA028,V026,1612000,402000,397000,28,in_progress,2023-09-02,2023-11-20,2023-12-05,2024-03-12,,,False
W00003,MP019,Tamil Nadu,Madurai,2024-25,CC road / paver block,"CC road / paver block at ward 35, Madurai",IA038,V027,572000,516000,499000,100,completed,2025-09-02,2025-10-28,2025-11-28,2026-04-05,2026-08-28,IMG_W00003,True
W00004,MP007,Maharashtra,Pune,2025-26,School classroom block,"School classroom block at ward 37, Pune",IA018,V019,3476000,1425000,1137000,40,in_progress,2026-01-18,2026-03-25,2026-04-12,2026-10-26,,,False
W00005,MP020,Tamil Nadu,Salem,2023-24,Public toilet block,"Public toilet block at ward 25, Salem",IA038,V022,271000,210000,148000,72,in_progress,2024-10-30,2025-01-23,2025-02-10,2025-08-13,,,False
W00006,MP023,Karnataka,Mysuru,2023-24,Drinking water - borewell,"Drinking water - borewell at ward 22, Mysuru",IA021,V024,386000,374000,338000,100,completed,2023-10-26,2023-12-13,2024-01-16,2024-03-25,2024-05-22,,False
W00007,MP010,Karnataka,Hubli,2024-25,e-Library,"e-Library at ward 17, Hubli",IA034,V020,1466000,1410000,1356000,100,completed,2025-08-17,2025-10-13,2025-11-17,2026-02-15,2026-07-19,IMG_W00007,True
W00008,MP023,Tamil Nadu,Salem,2024-25,Culvert / drainage,"Culvert / drainage at ward 32, Salem",IA002,V038,324000,104000,92000,37,in_progress,2024-09-28,2024-12-10,2025-01-23,2025-07-27,,,False
W00009,MP009,Maharashtra,Pune,2024-25,Culvert / drainage,"Culvert / drainage at ward 25, Pune",IA007,V050,601000,582000,542000,100,completed,2024-07-04,2024-08-23,2024-10-01,2025-04-01,2025-03-04,IMG_W00009,True
W00010,MP015,Karnataka,Mysuru,2023-24,School classroom block,"School classroom block at ward 6, Mysuru",IA022,V048,1444000,3296000,1312000,100,completed,2023-09-12,2023-12-11,2024-01-05,2024-04-01,2024-08-24,IMG_W00010,True
W00011,MP011,Karnataka,Mysuru,2025-26,CC road / paver block,"CC road / paver block at ward 6, Mysuru",IA040,V023,568000,0,0,0,sanctioned,2025-01-20,2025-03-02,,,,,False
W00012,MP005,Maharashtra,Nagpur,2023-24,e-Library,"e-Library at ward 1, Nagpur",IA031,V054,938000,489000,435000,54,in_progress,2024-11-01,2025-01-06,2025-02-03,2025-06-18,,,False
W00013,MP008,Karnataka,Mysuru,2023-24,Drinking water - borewell,"Drinking water - borewell at ward 3, Mysuru",IA033,V060,647000,607000,524000,86,in_progress,2023-05-05,2023-07-28,2023-08-30,2023-10-29,,,False
W00014,MP004,Karnataka,Bengaluru,2024-25,Drinking water - borewell,"Drinking water - borewell at ward 9, Bengaluru",IA017,V056,489000,465000,430000,100,completed,2023-12-25,2024-02-27,2024-03-26,2024-09-28,2024-06-07,IMG_W00014,True
W00015,MP021,Tamil Nadu,Madurai,2025-26,Solar street lights,"Solar street lights at ward 26, Madurai",IA004,V049,298000,302000,277000,100,completed,2024-06-05,2024-08-26,2024-10-09,2025-03-12,2024-12-09,IMG_W00015,True
W00016,MP023,Karnataka,Hubli,2023-24,Drinking water - borewell,"Drinking water - borewell at ward 33, Hubli",IA033,V032,484000,103000,96000,20,in_progress,2023-06-03,2023-07-06,2023-07-23,2023-08-30,,,False
W00017,MP023,Tamil Nadu,Madurai,2025-26,CC road / paver block,"CC road / paver block at ward 25, Madurai",IA006,V037,1203000,656000,497000,58,in_progress,2024-11-06,2024-12-13,2025-01-01,2025-01-31,,,False
W00018,MP014,Tamil Nadu,Madurai,2025-26,Public toilet block,"Public toilet block at ward 27, Madurai",IA030,V002,684000,469000,334000,68,in_progress,2024-04-28,2024-06-20,2024-07-25,2024-11-12,,,False
W00019,MP004,Tamil Nadu,Trichy,2024-25,School classroom block,"School classroom block at ward 8, Trichy",IA034,V051,2677000,2503000,2359000,100,completed,2023-09-14,2023-11-06,2023-12-19,2024-03-25,2024-07-09,IMG_W00019,True
W00020,MP013,Maharashtra,Nashik,2023-24,CC road / paver block,"CC road / paver block at ward 2, Nashik",IA022,V054,2123000,1505000,1403000,80,in_progress,2023-12-26,2024-01-30,2024-03-03,2024-09-17,,,False
W00021,MP025,Tamil Nadu,Chennai,2025-26,Public toilet block,"Public toilet block at ward 33, Chennai",IA034,V046,869000,0,0,0,sanctioned,2025-09-01,2025-11-21,,,,,False
W00022,MP020,Tamil Nadu,Chennai,2025-26,CC road / paver block,"CC road / paver block at ward 26, Chennai",IA017,V024,2369000,2167000,2073000,100,completed,2023-08-02,2023-09-12,2023-10-17,2024-03-11,2024-02-17,IMG_W00022,True
W00023,MP022,Maharashtra,Thane,2025-26,CC road / paver block,"CC road / paver block at ward 31, Thane",IA010,V042,1251000,1296000,1276000,100,completed,2023-10-30,2024-01-12,2024-02-14,2024-08-10,2024-10-24,IMG_W00023,True
W00024,MP006,Tamil Nadu,Chennai,2023-24,Public toilet block,"Public toilet block at ward 18, Chennai",IA013,V010,799000,0,0,0,sanctioned,2025-11-13,2026-01-19,,,,,False
W00025,MP010,Maharashtra,Nashik,2023-24,Solar street lights,"Solar street lights at ward 18, Nashik",IA031,V052,789000,1800000,768000,100,completed,2025-01-25,2025-04-02,2025-04-25,2025-07-19,2026-02-06,IMG_W00025,True
W00026,MP019,Tamil Nadu,Trichy,2025-26,Culvert / drainage,"Culvert / drainage at ward 36, Trichy",IA002,V031,587000,600000,565000,100,completed,2025-12-02,2026-02-14,2026-03-20,2026-08-16,2026-07-10,IMG_W00026,True
W00027,MP020,Maharashtra,Pune,2025-26,Public toilet block,"Public toilet block at ward 3, Pune",IA017,V011,929000,283000,271000,28,in_progress,2023-07-07,2023-09-24,2023-10-17,2024-01-02,,,False
W00028,MP001,Karnataka,Mysuru,2023-24,e-Library,"e-Library at ward 22, Mysuru",IA022,V028,636000,194000,615000,25,in_progress,2024-04-19,2024-06-10,2024-07-09,2024-11-02,,,False
